abject	abjectly
biennial	biennially
bilateral	bilaterally
bilingual	bilingually
biological	biologically
biting	bitingly
bitter	bitterly
bizarre	bizarrely
blameless	blamelessly
bland	blandly
blank	blankly
blasphemous	blasphemously
blatant	blatantly
bleak	bleakly
blind	blindly
blissful	blissfully
blithe	blithely
blithering	blithely
blithesome	blithely
bloodless	bloodlessly
bloody	bloody
bluff	bluffly
blunt	bluntly
blushing	blushingly
boastful	boastfully
bodacious	bodaciously
bodied	bodily
bodily	bodily
boisterous	boisterously
bold	boldly
bonny	bonnily
boorish	boorishly
boundless	boundlessly
bounteous	bounteously
bountiful	bountifully
boyish	boyishly
brash	brashly
brave	bravely
breathless	breathlessly
breezy	breezily
brief	briefly
bright	brightly
brilliant	brilliantly
brisk	briskly
broad	broadly
broad-based	broadly
brusque	brusquely
brutal	brutally
brutish	brutishly
bumptious	bumptiously
buoyant	buoyantly
bureaucratic	bureaucratically
busy	busily
cagey	cagily
calm	calmly
candid	candidly
canned	cannily
canny	cannily
cantankerous	cantankerously
capable	capably
capricious	capriciously
captious	captiously
careful	carefully
careless	carelessly
caressing	caressingly
carnal	carnally
casual	casually
catastrophic	catastrophically
categorical	categorically
caustic	caustically
cautious	cautiously
cavalier	cavalierly
ceaseless	ceaselessly
centennial	centennially
central	centrally
ceremonial	ceremonially
ceremonious	ceremoniously
certain	certainly
chaotic	chaotically
characteristic	characteristically
charitable	charitably
charming	charmingly
chary	charily
chaste	chastely
chatty	chattily
cheap	cheaply
cheapjack	cheaply
cheeked	cheekily
cheeky	cheekily
cheerful	cheerfully
cheering	cheerily
cheerless	cheerlessly
chemical	chemically
chief	chiefly
childish	childishly
chirpy	chirpily
chivalrous	chivalrously
choppy	choppily
chronic	chronically
chronological	chronologically
churlish	churlishly
circuitous	circuitously
circumspect	circumspectly
circumstantial	circumstantially
civil	civilly
civilian	civilly
clammy	clammily
clannish	clannishly
classic	classically
classical	classically
clean	cleanly
clean-cut	cleanly
cleanly	cleanly
clear	clearly
clear-cut	clearly
clever	cleverly
climatic	climatically
clinical	clinically
close	closely
close-cut	closely
close-set	closely
closet	closely
clumsy	clumsily
coarse	coarsely
coherent	coherently
cohesive	cohesively
coincident	coincidently
coincidental	coincidently
cold	coldly
collected	collectedly
collective	collectively
colloquial	colloquially
combative	combatively
comfortable	comfortably
comic	comically
comical	comically
commendable	commendably
commercial	commercially
common	commonly
communal	communally
compact	compactly
comparable	comparably
comparative	comparatively
compassionate	compassionately
compatible	compatibly
competent	competently
competitive	competitively
complacent	complacently
complete	completely
composed	composedly
comprehensive	comprehensively
compulsive	compulsively
compulsory	compulsorily
computational	computationally
conceited	conceitedly
conceivable	conceivably
conceptual	conceptually
concerned	concernedly
concise	concisely
conclusive	conclusively
concomitant	concomitantly
concrete	concretely
concurrent	concurrently
condescending	condescendingly
conditional	conditionally
confident	confidently
confidential	confidentially
confiding	confidingly
confounded	confoundedly
confrontational	confrontationally
confused	confusingly
congenial	congenially
conjoint	conjointly
conjugal	conjugally
conscientious	conscientiously
conscious	consciously
consecutive	consecutively
consequent	consequently
consequential	consequentially
conservative	conservatively
considerable	considerably
considerate	considerately
consistent	consistently
conspicuous	conspicuously
constant	constantly
constitutional	constitutionally
constrained	constrainedly
constructive	constructively
contagious	contagiously
contemporaneous	contemporaneously
contemptible	contemptibly
contemptuous	contemptuously
contented	contentedly
contentious	contentiously
contiguous	contiguously
continual	continually
continuous	continuously
contractual	contractually
contrite	contritely
controversial	controversially
contumacious	contumaciously
contumelious	contumeliously
convenient	conveniently
conventional	conventionally
conversational	conversationally
convex	convexly
convincing	convincingly
convivial	convivially
convulsive	convulsively
cool	coolly
cooperative	cooperatively
coordinate	coordinately
copious	copiously
coquettish	coquettishly
cordial	cordially
correct	correctly
corrective	correctly
corresponding	correspondingly
corrupt	corruptly
corruptible	corruptly
cosmetic	cosmetically
cosy	cosily
courageous	courageously
courteous	courteously
covert	covertly
covetous	covetously
coy	coyly
crafty	craftily
crazed	crazily
crazy	crazily
creaky	creakily
creative	creatively
credible	credibly
creditable	creditably
credulous	credulously
creepy	creepily
criminal	criminally
crisp	crisply
critical	critically
crooked	crookedly
cross	crossly
crossbred	crossly
crosscut	crossly
crosseyed	crossly
crucial	crucially
crude	crudely
cruel	cruelly
crushing	crushingly
culpable	culpably
cultural	culturally
cumulative	cumulatively
cunning	cunningly
curious	curiously
current	currently
currish	currishly
cursed	cursedly
cursory	cursorily
curt	curtly
cussed	cussedly
customary	customarily
cute	cutely
cyclical	CYCLICALLY
cynical	cynically
daft	daftly
daily	daily
dainty	daintily
damnable	damnably
damp	damply
dampish	damply
dangerous	dangerously
daring	daringly
dark	darkly
dashing	dashingly
dauntless	dauntlessly
dead	deadly
deadly	deadly
deadpan	deadly
dear	dearly
deathless	deathly
deathlike	deathly
deathly	deathly
deceitful	deceitfully
decent	decently
deceptive	deceptively
decided	decidedly
decisive	decisively
decorative	decoratively
decorous	decorously
deep	deeply
defective	defectively
defenceless	defencelessly
defensible	defensibly
defensive	defensively
deferential	deferentially
defiant	defiantly
definite	definitely
definitive	definitively
deft	deftly
deliberate	deliberately
delicate	delicately
delicious	deliciously
delightful	delightfully
delirious	deliriously
delusive	delusively
demented	dementedly
democratic	democratically
demographic	demographically
demoniacal	demoniacally
demonstrable	demonstrably
demonstrative	demonstratively
demure	demurely
dense	densely
deplorable	deplorably
derisive	derisively
derogatory	derogatorily
descriptive	descriptively
deserved	deservedly
desolate	desolately
desperate	desperately
despicable	despicably
despiteful	despitefully
despondent	despondently
destructive	destructively
detectable	detectably
detestable	detestably
detrimental	detrimentally
deuced	deucedly
devilish	devilishly
devious	deviously
devoted	devotedly
devout	devoutly
dexterous	dexterously
diabolical	diabolically
diagonal	diagonally
diagrammatical	diagrammatically
dictatorial	dictatorially
didactic	didactically
different	differently
differential	differentially
diffident	diffidently
diffuse	diffusely
digital	digitally
diligent	diligently
dim	dimly
dingy	dingily
diplomatic	diplomatically
dire	direfully
direct	directly
direful	direfully
dirty	dirtily
disadvantageous	disadvantageously
disagreeable	disagreeably
disappointed	disappointedly
disappointing	disappointingly
disastrous	disastrously
disconsolate	disconsolately
discordant	discordantly
discourteous	discourteously
discreditable	discreditably
discreet	discreetly
discriminatory	discriminatorily
discursive	discursively
disdainful	disdainfully
disgraceful	disgracefully
disgusting	disgustingly
dishonest	dishonestly
dishonourable	dishonourably
disingenuous	disingenuously
disinterested	disinterestedly
disjointed	disjointedly
disloyal	disloyally
dismal	dismally
disobedient	disobediently
dispassionate	dispassionately
displeasing	displeasingly
disproportionate	disproportionately
disputatious	disputatiously
disquieting	disquietingly
disreputable	disreputably
disrespectful	disrespectfully
disruptive	disruptively
dissolute	dissolutely
distant	distantly
distasteful	distastefully
distinct	distinctly
distinctive	distinctively
distracted	distractedly
distressful	distressfully
distressing	distressingly
distributed	distributively
distributive	distributively
distrustful	distrustfully
disturbing	disturbingly
diverse	diversely
diverting	divertingly
divine	divinely
divisive	divisively
dizzy	dizzily
dogged	doggedly
doleful	dolefully
domestic	domestically
dominant	dominantly
domineering	domineeringly
double	doubly
doubtful	doubtfully
dour	dourly
dowdy	dowdily
downstream	downstream
downtown	downtown
downward	downward
drab	drably
dramatic	dramatically
drastic	drastically
dreadful	dreadfully
dreamy	dreamily
dreary	drearily
drowsy	drowsily
drunk	drunkenly
drunken	drunkenly
dry	drily
dual	duly
dubious	dubiously
dud	duly
due	duly
dull	dully
dumb	dumbly
dun	duly
durable	durably
dutiful	dutifully
dynamic	dynamically
eager	eagerly
earlier	earlier
early	early
earnest	earnestly
east	east
easy	easily
ebullient	ebulliently
eccentric	eccentrically
ecclesiastical	ecclesiastically
eclectic	eclectically
ecological	ecologically
economic	economically
economical	economically
ecstatic	ecstatically
editorial	editorially
educational	educationally
eerie	eerily
effective	effectively
effectual	effectually
efficacious	efficaciously
efficient	efficiently
effortless	effortlessly
effusive	effusively
elaborate	elaborately
elective	electively
electric	electrically
electrical	electrically
electronic	electronically
elegant	elegantly
elementary	elementarily
elliptical	elliptically
eloquent	eloquently
embarrassing	embarrassingly
eminent	eminently
emotional	emotionally
empirical	empirically
empty	impotently
emulous	emulously
endless	endlessly
energetic	energetically
engaging	engagingly
enjoyable	enjoyably
enormous	enormously
enterprising	enterprisingly
entertaining	entertainingly
enthusiastic	enthusiastically
entire	entirely
enviable	enviably
envious	enviously
environmental	environmentally
episodic	episodically
equable	equably
equal	equally
equitable	equitably
equivalent	equivalently
erect	erectly
erectile	erectly
erratic	erratically
erroneous	erroneously
erudite	eruditely
especial	especially
essential	essentially
eternal	eternally
ethical	ethically
ethnic	ethnically
evasive	evasively
even	evenly
even-handed	even-handedly
eventual	eventually
evident	evidently
ex parte	unilaterally
evil	evilly
exact	exactly
exacting	exactly
exaggerated	exaggeratedly
excellent	excellently
exceptional	exceptionally
excess	excessively
excessive	excessively
exclusive	exclusively
excruciating	excruciatingly
excusable	excusably
exhaustive	exhaustively
existing	currently
exorbitant	exorbitantly
expansive	expansively
expectant	expectantly
expedient	expediently
expeditious	expeditiously
expensive	expensively
experimental	experimentally
expert	expertly
explicit	explicitly
explosive	explosively
exponential	exponentially
express	express
expressive	expressively
exquisite	exquisitely
extemporaneous	extemporaneously
extemporary	extemporarily
extensive	extensively
external	externally
extortionate	extortionately
extraneous	extraneously
extraordinary	extraordinarily
extravagant	extravagantly
extreme	extremely
exuberant	exuberantly
exultant	exultantly
fabulous	fabulously
face-to-face	face-to-face
facetious	facetiously
facial	facially
factual	factually
faddish	faddily
faint	faintly
fair	fairly
fairish	fairly
faithful	faithfully
faithless	faithlessly
false	falsely
familiar	familiarly
famous	famously
fanatic	fanatically
fanatical	fanatically
fanciful	fancifully
fancy	fancily
far	far
farcical	farcically
fascinating	fascinatingly
fashionable	fashionably
fast	fast
fastidious	fastidiously
fatal	fatally
fateful	fatefully
fatuous	fatuously
faultless	faultlessly
faulty	faultily
favorable	favorably
favourable	favourably
fearful	fearfully
fearless	fearlessly
fearsome	fearsomely
feckless	fecklessly
federal	federally
feeble	feebly
feeling	feelingly
felicitous	felicitously
ferocious	ferociously
fervent	fervently
fervid	fervidly
feverish	feverishly
fictional	fictionally
fiendish	fiendishly
fierce	fiercely
fiery	fierily
figurative	figuratively
filthy	filthily
final	finally
financial	financially
fine	fine
fine	finely
firm	firmly
firsthand	firsthand
fit	fitly
fitful	fitfully
fixed	fixedly
flabby	flabbily
flagrant	flagrantly
flamboyant	flamboyantly
flashy	flashily
flat	flatly
flawless	flawlessly
fleet	fleetly
fleeting	fleetly
flexible	flexibly
flimsy	flimsily
flippant	flippantly
florid	floridly
fluent	fluently
fond	fondly
foolish	foolishly
forbidding	forbiddingly
forceful	forcefully
forcible	forcibly
foremost	foremost
forgetful	forgetfully
forgivable	forgivably
forgiving	forgivingly
forlorn	forlornly
formal	formally
former	formerly
formidable	formidably
formless	formlessly
fortnightly	fortnightly
fortuitous	fortuitously
fortunate	fortunately
foul	foully
fractional	fractionally
fractious	fractiously
frank	frankly
frantic	frantically
fraternal	fraternally
fraudulent	fraudulently
freakish	freakishly
free	freely
frenetic	frenetically
frenzied	frenziedly
frequent	frequently
fresh	freshly
fretful	fretfully
frightening	frighteningly
frightful	frightfully
frigid	frigidly
frisky	friskily
frivolous	frivolously
frosty	frostily
frothy	frothily
frugal	frugally
fruitful	fruitfully
fruitless	fruitlessly
full	fully
full-time	full-time
fulsome	fulsomely
functional	functionally
fundamental	fundamentally
funny	funnily
furious	furiously
furtive	furtively
fussy	fussily
futile	futilely
futuristic	futuristically
gainful	gainfully
gallant	gallantly
game	gamely
garish	garishly
gaudy	gaudily
gay	gaily
genealogical	genealogically
general	generally
generic	generically
generous	generously
genial	genially
genteel	genteelly
gentile	gently
gentle	gently
genuine	genuinely
geographic	geographically
geographical	geographically
geological	geologically
geometrical	geometrically
giddy	giddily
gingerly	gingerly
girlish	girlishly
glad	gladly
gleeful	gleefully
glib	glibly
global	globally
gloomy	gloomily
glorious	gloriously
glossy	glossily
glowing	glowingly
glum	glumly
gluttonous	gluttonously
good	well
gorgeous	gorgeously
graceful	gracefully
graceless	gracelessly
gracious	graciously
gradual	gradually
grammatical	grammatically
grand	grandly
grandiose	grandly
graphical	graphically
grateful	gratefully
gratuitous	gratuitously
grave	gravely
gravelly	gravely
graven	gravely
greasy	greasily
great	greatly
greedy	greedily
gregarious	gregariously
grey	greyly
greyish	greyly
grievous	grievously
grim	grimly
grimy	grimly
gross	grossly
grotesque	grotesquely
gruesome	gruesomely
gruff	gruffly
grumpy	grumpily
guarded	guardedly
guilty	guiltily
gullible	gullibly
gushing	gushingly
guttural	gutturally
habitual	habitually
half-hearted	half-heartedly
half-hourly	half-hourly
half-yearly	half-yearly
halfhearted	HALFHEARTEDLY
handsome	handsomely
handy	handily
haphazard	haphazardly
happy	happily
hard	hardly
hardy	hardly
harmful	harmfully
harmless	harmlessly
harmonious	harmoniously
harsh	harshly
hasty	hastily
hateful	hatefully
haughty	haughtily
hazardous	hazardously
hazy	hazily
healthy	healthily
hearted	heartily
heartless	heartlessly
hearty	heartily
heated	heatedly
heavy	heavily
hectic	hectically
heinous	heinously
helpful	helpfully
helpless	helplessly
heroic	heroically
hesitant	hesitantly
hideous	hideously
high	highly
high-handed	high-handedly
high-minded	high-mindedly
high-powered	powerfully
high-risk	riskily
hilarious	hilariously
historic	historically
historical	historically
hoarse	hoarsely
honest	honestly
honorable	honorably
honourable	honourably
hopeful	hopefully
hopeless	hopelessly
horizontal	horizontally
horrendous	horrendously
horrible	horribly
horrid	horridly
hospitable	hospitably
hostile	hostilely
hot	hotly
hourly	hourly
huffish	huffily
huge	hugely
human	humanly
humane	humanely
humble	humbly
humorous	humorously
hungry	hungrily
hurried	hurriedly
husky	huskily
hydraulic	hydraulicly
hypocritical	hypocritically
hypothetical	hypothetically
hysterical	hysterically
icy	icily
ideal	ideally
idealistic	idealistically
idealized	ideally
identical	identically
identifiable	identifiably
ideological	ideologically
idiomatic	idiomatically
idle	idly
idolatrous	idolatrously
ignoble	ignobly
ignominious	ignominiously
ignorant	ignorantly
illegal	illegally
illegible	illegibly
illegitimate	illegitimately
illiberal	illiberally
illicit	illicitly
illogical	illogically
illustrious	illustriously
imaginative	imaginatively
immaculate	immaculately
immeasurable	immeasurably
immediate	immediately
immense	immensely
imminent	imminently
immoderate	immoderately
immodest	immodestly
immoral	immorally
immovable	immovably
immutable	immutably
impartial	impartially
impassioned	passionately
impassive	impassively
impatient	impatiently
impeccable	impeccably
impenitent	impenitently
imperative	imperatively
imperceptible	imperceptibly
imperfect	imperfectly
imperial	imperially
imperialistic	imperially
imperious	imperiously
impersonal	impersonally
impertinent	impertinently
impetuous	impetuously
impious	impiously
impish	impishly
implausible	implausibly
implicit	implicitly
impolite	impolitely
important	importantly
importunate	importunately
imposing	imposingly
impossible	impossibly
impotent	impotently
impracticable	impracticably
imprecise	imprecisely
impregnable	impregnably
impressive	impressively
improbable	improbably
impromptu	impromptu
improper	improperly
improvident	improvidently
imprudent	imprudently
impudent	impudently
impulsive	impulsively
inaccurate	inaccurately
inadequate	inadequately
inadvertent	inadvertently
inadvisable	inadvisably
inane	inanely
inappropriate	inappropriately
inauspicious	inauspiciously
incautious	incautiously
incessant	incessantly
incisive	incisively
inclusive	inclusively
incoherent	incoherently
incomparable	incomparably
incompetent	incompetently
incomplete	incompletely
inconceivable	inconceivably
inconclusive	inconclusively
incongruous	incongruously
inconsequent	inconsequently
inconsequential	inconsequentially
inconsiderate	inconsiderately
inconsistent	inconsistently
inconspicuous	inconspicuously
inconvenient	inconveniently
incorrect	incorrectly
increasing	increasingly
incredible	incredibly
incredulous	incredulously
incurable	incurably
indecent	indecently
indecisive	indecisively
indecorous	indecorously
indefinite	indefinitely
indelible	indelibly
independent	independently
indescribable	indescribably
indeterminable	indeterminably
indifferent	indifferently
indignant	indignantly
indirect	indirectly
indiscreet	indiscreetly
indiscriminate	indiscriminately
indistinct	indistinctly
individual	individually
individualistic	individually
indolent	indolently
indoor	indoors
indubitable	indubitably
indulgent	indulgently
industrious	industriously
ineffable	ineffably
ineffective	ineffectively
ineffectual	ineffectually
inefficient	inefficiently
inelegant	inelegantly
inept	ineptly
inequitable	inequitably
inescapable	inescapably
inevitable	inevitably
inexcusable	inexcusably
inexorable	inexorably
inexpensive	inexpensively
inexpert	inexpertly
inextricable	inextricably
infelicitous	infelicitously
infernal	infernally
infinite	infinitely
infinitesimal	infinitely
inflexible	inflexibly
influential	influentially
informal	informally
informative	informatively
infrequent	infrequently
ingenious	ingeniously
ingenuous	ingenuously
inglorious	ingloriously
inherent	inherently
inhospitable	inhospitably
inhuman	inhumanely
inhumane	inhumanely
inimitable	inimitably
iniquitous	iniquitously
initial	initially
injudicious	injudiciously
innate	innately
innocent	innocently
inoffensive	inoffensively
inopportune	inopportunely
inordinate	inordinately
inquiring	inquiringly
inquisitive	inquisitively
insane	insanely
insatiable	insatiably
insecure	insecurely
insensible	insensibly
insensitive	insensitively
insidious	insidiously
insignificant	insignificantly
insincere	insincerely
insipid	insipidly
insolent	insolently
inspirational	inspirationally
instant	instantly
instantaneous	instantaneously
instinctive	instinctively
institutional	institutionally
instructive	instructively
insubstantial	insubstantially
insufficient	insufficiently
insulting	insultingly
insuperable	insuperably
intangible	intangibly
integral	integrally
intellectual	intellectually
intelligent	intelligently
intelligible	intelligibly
intemperate	intemperately
intended	intentionally
intense	intensely
intensive	intensively
intent	intently
intentional	intentionally
interactive	
interchangeable	interchangeably
intercorporate	intercorporately
interdepartmental	interdepartmentally
interesting	interestingly
intermediate	intermediately
interminable	interminably
intermittent	intermittently
internal	internally
international	internationally
interrogative	interrogatively
intimate	intimately
intolerable	intolerably
intolerant	intolerantly
intransitive	intransitively
intravenous	intravenously
intrepid	intrepidly
intricate	intricately
intrinsic	intrinsically
intuitive	intuitively
invariable	invariably
inventive	inventively
inverse	inversely
inveterate	inveterately
invidious	invidiously
invincible	invincibly
invisible	invisibly
inviting	invitingly
involuntary	involuntarily
inward	inwardly
irate	irately
ironic	ironically
ironical	ironically
irrational	irrationally
irregular	irregularly
irrelevant	irrelevantly
irreparable	irreparably
irresistible	irresistibly
irresponsible	irresponsibly
irretrievable	irretrievably
irreverent	irreverently
irreversible	irreversibly
irrevocable	irrevocably
irritable	irritably
jarring	jarringly
jaunty	jauntily
jealous	jealously
jejune	jejunely
jerky	jerkily
jesting	jestingly
jocose	jocosely
jocular	jocularly
joint	jointly
jolly	jolly
jolty	jolly
journalistic	journalistically
jovial	jovially
joyful	joyfully
joyless	joylessly
joyous	joyously
jubilant	jubilantly
judicial	judicially
judicious	judiciously
just	justly
justifiable	justifiably
keen	keenly
kind	kindly
kindly	kindly
kindred	kindly
knavish	knavishly
knowing	knowingly
laborious	laboriously
lackadaisical	lackadaisically
lame	lamely
lamentable	lamentably
languid	languidly
languorous	languorously
large	largely
lascivious	lasciviously
last	last
late	lately
lateen	lately
latent	lately
later	later
lateral	laterally
latter	latterly
latter-day	latterly
laudable	laudably
laughable	laughably
laughing	laughingly
lavish	lavishly
lawful	lawfully
lawless	lawlessly
lax	laxly
lazy	lazily
learned	learnedly
legal	legally
legible	legibly
legitimate	legitimately
leisured	leisurely
leisurely	leisurely
lengthy	lengthily
lenient	leniently
lethargic	lethargically
lewd	lewdly
lexical	lexically
liberal	liberally
licentious	licentiously
lifeless	lifelessly
light	lightly
light-handed	light-handedly
light-headed	light-headedly
light-hearted	light-heartedly
lighthearted	light-heartedly
lightsome	lightsomely
likely	likely
limp	limply
limpid	limpidly
lineal	lineally
linear	linearly
lingering	lingeringly
listless	listlessly
literal	literally
little	little
live	live
lively	lively
livid	lividly
local	locally
localized	locally
lofty	loftily
logical	logically
logistical	logistically
lone	alone
long	long
longitudinal	longitudinally
loose	loosely
lopsided	lopsidedly
loquacious	loquaciously
loud	loudly
loving	lovingly
low	low
loyal	loyally
lucid	lucidly
lucky	luckily
ludicrous	ludicrously
lugubrious	lugubriously
lukewarm	lukewarmly
lurid	luridly
luscious	lusciously
lustful	lustfully
lusty	lustily
luxuriant	luxuriantly
luxurious	luxuriously
lyrical	lyrically
mad	madly
magical	magically
magisterial	magisterially
magnanimous	magnanimously
magnetic	magnetically
magnificent	magnificently
magniloquent	magniloquently
main	mainly
maladroit	maladroitly
malevolent	malevolently
malicious	maliciously
malignant	malignantly
manageable	manageably
manful	manfully
mangy	mangily
maniacal	maniacally
manifest	manifestly
manipulative	manipulatively
manual	manually
marginal	marginally
marked	markedly
martial	martially
marvellous	marvellously
marvelous	marvelously
massive	massively
masterful	masterfully
material	materially
materialistic	materially
maternal	maternally
mathematical	mathematically
mature	maturely
mawkish	mawkishly
maximum	maximally
meagre	meagrely
mean	meanly
meaning	meaningly
meaningful	meaningfully
meaningless	meaningly
measurable	measurably
measured	measurably
mechanical	mechanically
medial	medially
medical	medically
meditative	meditatively
meek	meekly
mellow	mellowly
melodious	melodiously
memorable	memorably
mendacious	mendaciously
menial	menially
mental	mentally
merciful	mercifully
merciless	mercilessly
meretricious	meretriciously
meritorious	meritoriously
merry	merrily
messianic	messily
metaphorical	metaphorically
metaphysical	metaphysically
meteorological	meteorologically
methodical	methodically
methodological	methodologically
meticulous	meticulously
metrical	metrically
microscopical	microscopically
midweek	midweek
mighty	mightily
mild	mildly
militaristic	militarily
militant	militantly
military	militarily
mincing	mincingly
mindful	mindfully
mindless	mindlessly
minimal	minimally
minimum	minimally
ministerial	ministerially
minute	minutely
miraculous	miraculously
mirthful	mirthfully
mischievous	mischievously
miserable	miserably
mistaken	mistakenly
mistrustful	mistrustfully
misty	mistily
moderate	moderately
modern	modernly
modest	modestly
modish	modishly
moist	moistly
momentary	momentarily
momentous	momentously
monotonous	monotonously
monstrous	monstrously
monthlong	monthly
monthly	monthly
moody	moodily
moral	morally
moralistic	morally
morbid	morbidly
more	more
morose	morosely
morphological	morphologically
mortal	mortally
most	mostly
motionless	motionlessly
mournful	mournfully
much	much
mulish	mulishly
multifarious	multifariously
mundane	mundanely
municipal	municipally
munificent	munificently
murderous	murderously
murky	murkily
musical	musically
mute	mutely
mutual	mutually
mysterious	mysteriously
naive	naively
naked	nakedly
narrow	narrowly
narrow-minded	narrow-mindedly
nasty	nastily
national	nationally
nationalist	nationally
nationalistic	nationally
nationwide	nationwide
natty	nattily
natural	naturally
naturalistic	naturally
naughty	naughtily
near	nearly
nearby	nearly
neat	neatly
necessary	necessarily
needful	needfully
needless	needlessly
nefarious	nefariously
negative	negatively
neglectful	neglectfully
negligent	negligently
negligible	negligibly
nerveless	nervelessly
nervous	nervously
new	newly
newsy	newly
next	next
nice	nicely
nightlong	nightly
nightly	nightly
nimble	nimbly
noble	nobly
noiseless	noiselessly
noisy	noisily
nominal	nominally
nonchalant	nonchalantly
noncompetitive	noncompetitively
nonstop	nonstop
normal	normally
north	north
nostalgic	nostalgically
notable	notably
noticeable	noticeably
notorious	notoriously
noxious	noxiously
numb	numbly
numerical	numerically
nutritional	nutritionally
obdurate	obdurately
obedient	obediently
objectionable	objectionably
objective	objectively
obliging	obligingly
oblique	obliquely
obnoxious	obnoxiously
obscene	obscenely
obscure	obscurely
obsequious	obsequiously
observable	observably
observant	observantly
observing	observingly
obsessional	obsessionally
obsessive	obsessively
obstinate	obstinately
obstreperous	obstreperously
obstructive	obstructively
obtrusive	obtrusively
obtuse	obtusely
obvious	obviously
occasional	occasionally
odd	oddly
odious	odiously
offensive	offensively
offhanded	offhandedly
official	officially
officious	officiously
offshore	offshore
ominous	ominously
one-on-one	one-on-one
onerous	onerously
opaque	opaquely
open	openly
opening	openly
operational	operationally
operative	operatively
opportune	opportunely
opportunistic	opportunistically
opposite	oppositely
oppressive	oppressively
opprobrious	opprobriously
optical	optically
optimal	optimally
optimistic	optimistically
optimum	optimally
optional	optionally
opulent	opulently
oral	orally
ordinary	ordinarily
organizational	organizationally
original	originally
ornate	ornately
orthogonal	orthogonally
ostensible	ostensibly
ostentatious	ostentatiously
outdoor	outdoors
outlandish	outlandishly
outrageous	outrageously
outright	outright
outside	outside
outspoken	outspokenly
outstanding	outstandingly
outward	outwardly
overarm	overly
overbearing	overbearingly
overnight	overnight
oversea	overly
overseas	overseas
overt	overtly
owlish	owlishly
painful	painfully
painless	painlessly
painstaking	painstakingly
palatable	palatably
pale	palely
pallid	pallidly
palpable	palpably
paradoxical	paradoxically
pardonable	pardonably
parental	parentally
parochial	parochially
part-time	part-time
partial	partially
particular	particularly
passable	passably
passionate	passionately
passive	passively
past	past
patchy	patchily
patent	patently
paternal	paternally
pathological	pathologically
patient	patiently
patriotic	patriotically
patronizing	patronizingly
pawky	pawkily
peaceable	peaceably
peaceful	peacefully
peculiar	peculiarly
peevish	peevishly
